credit_score,debt_to_income,loan_amount,income,age,employment_years,payment_history,credit_utilization,num_accounts,recent_inquiries,late_payments,credit_length,target
582.1,0.42,56800,38500,28,4,64,0.76,9,4,2,7,1
723.7,0.22,22600,82000,41,12,87,0.3,5,1,0,18,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
576.8,0.43,57500,37500,26,3,62,0.79,10,5,2,6,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
713.4,0.23,24300,77000,37,10,84,0.33,6,1,0,17,0
617.2,0.39,43500,55000,32,6,73,0.65,8,3,1,9,0
769.4,0.19,16400,97000,46,15,93,0.21,3,0,0,24,0
571.6,0.44,58200,36500,25,2,60,0.8,11,5,3,5,1
724.8,0.26,27500,80000,38,11,85,0.35,5,1,0,18,0
628.4,0.35,39600,57500,34,7,74,0.63,7,3,1,10,0
754.7,0.22,19400,92000,42,12,90,0.26,4,1,0,20,0
565.9,0.45,58900,35500,26,3,61,0.81,10,5,3,5,1
695.3,0.31,32400,75000,35,9,82,0.43,6,2,0,15,0
639.2,0.34,36900,59500,36,8,75,0.6,6,2,1,11,0
782.6,0.18,15600,102000,47,16,94,0.2,3,0,0,24,0
589.7,0.41,54900,40500,27,3,62,0.78,10,5,2,6,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
721.3,0.24,24800,80000,39,11,86,0.34,5,1,0,19,0
629.6,0.35,40400,56500,33,7,74,0.63,7,3,1,10,0
752.4,0.22,19500,92000,42,12,90,0.28,4,1,0,20,0
563.2,0.45,59300,35500,25,2,59,0.82,11,5,3,5,1
693.1,0.3,32100,73000,36,9,83,0.41,6,2,0,16,0
648.9,0.34,36400,59500,34,7,75,0.6,6,2,1,11,0
781.5,0.19,16000,101000,46,15,93,0.21,3,0,0,23,0
585.6,0.41,56100,40500,27,3,63,0.78,10,5,2,6,1
712.6,0.24,25400,78000,36,10,85,0.34,5,1,0,17,0
613.9,0.4,44400,53500,32,6,73,0.66,7,3,1,9,0
766.2,0.2,16900,96000,45,15,93,0.22,4,0,0,23,0
580.4,0.42,56800,38500,28,4,64,0.76,9,4,2,7,1
723.7,0.22,22600,82000,41,12,87,0.3,5,1,0,18,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
617.2,0.39,43500,55000,32,6,73,0.65,8,3,1,9,0
767.2,0.19,16400,97000,46,15,93,0.21,3,0,0,24,0
571.6,0.44,58200,36500,25,2,60,0.8,11,5,3,5,1
724.8,0.26,27500,80000,38,11,85,0.35,5,1,0,18,0
628.4,0.35,39600,57500,34,7,74,0.63,7,3,1,10,0
754.7,0.22,19400,92000,42,12,90,0.26,4,1,0,20,0
565.9,0.45,58900,35500,26,3,61,0.81,10,5,3,5,1
695.3,0.31,32400,75000,35,9,82,0.43,6,2,0,15,0
639.2,0.34,36900,59500,36,8,75,0.6,6,2,1,11,0
782.6,0.18,15600,102000,47,16,94,0.2,3,0,0,24,0
589.7,0.41,54900,40500,27,3,62,0.78,10,5,2,6,1
711.8,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
574.9,0.46,59900,37500,25,2,60,0.82,11,5,3,5,1
694.2,0.29,31900,74000,36,9,83,0.41,6,2,0,16,0
636.5,0.36,38200,58500,35,8,76,0.61,6,2,1,10,0
788.3,0.18,15200,105000,47,17,94,0.2,3,0,0,25,0
593.1,0.4,54600,41500,29,4,65,0.75,9,4,2,7,1
710.9,0.25,25900,77000,37,10,84,0.35,6,1,0,18,0
620.4,0.38,42900,55500,32,6,73,0.65,7,3,1,9,0
759.8,0.2,17400,95000,44,14,92,0.24,4,0,0,22,0
569.7,0.42,57600,36500,26,3,61,0.79,11,5,3,5,1
722.6,0.23,23700,81000,40,12,86,0.31,5,1,0,17,0
625.6,0.37,41500,54500,31,6,72,0.64,8,3,1,9,0
753.9,0.21,18300,93000,43,13,91,0.25,4,0,0,21,0
